1	XM_006351685.2	100.00	17	0	0	1	17	1140	1156	0.012	34.2
2	NM_001287987.1	100.00	17	0	0	1	17	448	464	0.012	34.2
3	XR_368033.2	100.00	17	0	0	1	17	527	543	0.012	34.2
4	XM_006367722.2	100.00	16	0	0	1	16	480	465	0.047	32.2
6	XM_006347441.2	100.00	17	0	0	1	17	495	511	0.012	34.2
7	XM_006364574.2	100.00	17	0	0	1	17	1673	1689	0.012	34.2
8	XM_015305469.1	100.00	17	0	0	1	17	217	233	0.012	34.2
9	XM_006366304.2	100.00	16	0	0	2	17	41	26	0.047	32.2
12	XM_015308161.1	100.00	17	0	0	1	17	2011	2027	0.012	34.2
14	XM_015308161.1	100.00	17	0	0	1	17	1619	1635	0.012	34.2
19	XM_006354512.2	100.00	16	0	0	1	16	755	770	0.047	32.2
20	XM_015312185.1	100.00	17	0	0	1	17	3673	3689	0.012	34.2
21	XM_006350428.2	100.00	17	0	0	1	17	184	200	0.012	34.2
22	XM_006343654.2	100.00	17	0	0	1	17	1762	1778	0.012	34.2
23	XM_006353348.2	100.00	17	0	0	1	17	673	689	0.012	34.2
24	XM_015314752.1	100.00	17	0	0	1	17	1153	1169	0.012	34.2
25	XM_006346844.2	100.00	17	0	0	1	17	1755	1771	0.012	34.2
26	XR_001472098.1	100.00	17	0	0	1	17	407	423	0.012	34.2
27	XM_006360826.2	100.00	17	0	0	1	17	1231	1247	0.012	34.2
28	XM_006363595.2	100.00	17	0	0	1	17	139	155	0.012	34.2
30	XM_006348416.2	100.00	17	0	0	1	17	696	712	0.012	34.2
33	XM_006355878.2	100.00	17	0	0	1	17	677	693	0.012	34.2
34	XM_015313121.1	100.00	17	0	0	1	17	1931	1947	0.012	34.2
35	XM_006355610.2	100.00	16	0	0	2	17	404	419	0.047	32.2
36	XM_006338051.2	100.00	16	0	0	1	16	1823	1838	0.047	32.2
37	XM_006338051.2	100.00	17	0	0	1	17	1823	1839	0.012	34.2
38	XM_006363002.2	100.00	17	0	0	1	17	733	717	0.012	34.2
39	XM_015307895.1	100.00	17	0	0	1	17	538	522	0.012	34.2
40	XR_001472394.1	100.00	17	0	0	1	17	778	794	0.012	34.2
42	XM_006363002.2	100.00	17	0	0	1	17	738	754	0.012	34.2
43	XM_006339195.2	100.00	17	0	0	1	17	464	480	0.012	34.2
44	XM_006365230.2	100.00	17	0	0	1	17	528	544	0.012	34.2
45	XM_006339790.2	100.00	17	0	0	1	17	1781	1797	0.012	34.2
46	XM_006355487.2	100.00	17	0	0	1	17	1050	1066	0.012	34.2
47	XM_006345513.1	100.00	17	0	0	1	17	1870	1886	0.012	34.2
48	XM_006350958.2	100.00	17	0	0	1	17	1551	1567	0.012	34.2
49	XM_006354844.2	100.00	17	0	0	1	17	679	695	0.012	34.2
50	XM_006354825.2	100.00	17	0	0	1	17	241	257	0.012	34.2
51	XM_015304752.1	100.00	17	0	0	1	17	1246	1262	0.012	34.2
52	XR_369018.2	100.00	17	0	0	1	17	1001	1017	0.012	34.2
54	XM_006363002.2	100.00	17	0	0	1	17	328	344	0.012	34.2
55	XM_006366027.2	100.00	17	0	0	1	17	468	484	0.012	34.2
56	XM_006364611.2	100.00	17	0	0	1	17	423	439	0.012	34.2
